=== year backtest: 2022 ===
capital: $10000  lookback: 3  costs: --slippage-bps 2.0 --half-spread 0.005
overrides: --slippage-bps 3.0 --ticker-override AAPL:entry_threshold=0.35
total trading days: 260

row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4878,2022-01-03T10:28:00+00:00,618,1128
trade,2022-01-03,QQQ,Long,2022-01-03T14:37:00+00:00,2022-01-03T14:46:00+00:00,400.7452,400.0150,0.75,-0.55,-0.001822,540000,ScoreExit,0.4171,-0.1319,0.5306,0.4044,0.4047,-0.5312,-0.2827,0.3029,,,
summary,2022-01-03,QQQ,,,,,,,-0.55,,1,,,,,,,,,,0.4381,2022-01-03T18:44:00+00:00,523,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:31:00+00:00,2022-01-03T15:56:00+00:00,178.1084,180.8857,1.68,4.68,0.015593,5100000,SessionClose,0.4071,0.1035,0.4580,0.4126,0.3790,-0.3366,-0.0667,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,4.68,,1,,,,,,,,,,0.6094,2022-01-03T14:41:00+00:00,586,1134
trade,2022-01-03,NVDA,Long,2022-01-03T15:58:00+00:00,2022-01-03T15:59:00+00:00,305.2315,304.8835,0.94,-0.33,-0.001140,60000,SessionClose,0.5214,0.4955,0.3458,0.3873,0.8482,0.0866,0.3873,0.8482,,,
summary,2022-01-03,NVDA,,,,,,,-0.33,,1,,,,,,,,,,1.0000,2021-12-31T14:41:00+00:00,524,1076
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5476,2022-01-03T09:03:00+00:00,265,966
  [1/260] 2022-01-03  +$3.80  (3 trades)  cum: +$3.80
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,863,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,750,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7259,2022-01-03T14:41:00+00:00,902,1527
summary,2022-01-04,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8984,2022-01-03T14:35:00+00:00,543,1357
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,376,1154
  [2/260] 2022-01-04  +$0.00  (0 trades)  cum: +$3.80
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,991,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,750,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7259,2022-01-03T14:41:00+00:00,902,2311
summary,2022-01-05,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8984,2022-01-03T14:35:00+00:00,543,2135
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,376,1745
  [3/260] 2022-01-05  +$0.00  (0 trades)  cum: +$3.80
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1028,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,659,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,818,2962
trade,2022-01-06,NVDA,Long,2022-01-06T15:48:00+00:00,2022-01-06T15:56:00+00:00,280.0991,280.1009,0.64,0.00,0.000007,480000,SessionClose,0.4281,0.5026,0.4818,0.5730,0.1206,0.3511,0.7188,0.1206,,,
trade,2022-01-06,NVDA,Long,2022-01-06T15:58:00+00:00,2022-01-06T15:59:00+00:00,282.6398,283.0001,0.63,0.23,0.001275,60000,SessionClose,0.5357,0.5358,0.6821,0.7188,0.1206,0.6837,0.7188,0.1206,,,
summary,2022-01-06,NVDA,,,,,,,0.23,,2,,,,,,,,,,1.0000,2022-01-03T14:31:00+00:00,536,2765
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,376,2340
  [4/260] 2022-01-06  +$0.23  (2 trades)  cum: +$4.03
summary,2022-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3666,2022-01-04T14:41:00+00:00,254,3033
