row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4206,2022-01-03T18:44:00+00:00,530,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:36:00+00:00,2022-01-03T15:56:00+00:00,179.3388,180.8857,20.64,31.93,0.008626,4800000,SessionClose,window:strong core,,0.5684,0.1021,0.5866,0.5434,0.6124,-0.3366,-0.0692,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,31.93,,1,,,,,,,,,,,,0.5981,2022-01-03T14:41:00+00:00,596,1134
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5420,2022-01-03T09:03:00+00:00,272,966
trade,2022-01-03,AMZN,Long,2022-01-03T15:16:00+00:00,2022-01-03T15:56:00+00:00,3353.6308,3391.6972,1.10,41.90,0.011351,2400000,SessionClose,window:strong core,,0.4107,0.6176,0.6267,0.4129,0.3342,-0.4274,0.7993,0.6023,,,
trade,2022-01-03,AMZN,Long,2022-01-03T15:58:00+00:00,2022-01-03T15:59:00+00:00,3398.1141,3396.5257,1.09,-1.74,-0.000467,60000,SessionClose,window:5m thrust,hammer,0.6782,0.6738,0.1795,0.7993,0.6023,0.1355,0.7993,0.6023,,,
summary,2022-01-03,AMZN,,,,,,,40.16,,2,,,,,,,,,,,,0.7493,2022-01-03T16:09:00+00:00,300,848
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,759,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,916,1527
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,385,1154
trade,2022-01-04,AMZN,Long,2022-01-04T14:31:00+00:00,2022-01-04T14:51:00+00:00,3415.0592,3397.7554,1.09,-18.90,-0.005067,1200000,ScoreExit,window:strong core,,0.4124,-0.2242,0.2547,0.4777,0.3343,-0.3978,-0.4168,0.2189,,,
summary,2022-01-04,AMZN,,,,,,,-18.90,,1,,,,,,,,,,,,0.8645,2022-01-03T16:09:00+00:00,350,865
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,759,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.7146,2022-01-03T14:41:00+00:00,916,2311
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,385,1745
summary,2022-01-05,AMZN,,,,,,,0.00,,0,,,,,,,,,,,,0.8645,2022-01-03T16:09:00+00:00,350,1303
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,672,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,841,2962
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,384,2340
summary,2022-01-06,AMZN,,,,,,,0.00,,0,,,,,,,,,,,,0.9685,2022-01-03T16:00:00+00:00,359,1695
summary,2022-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4470,2022-01-04T20:49:00+00:00,236,2972
summary,2022-01-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5892,2022-01-04T14:56:00+00:00,25,2940
summary,2022-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.4246,2022-01-04T20:49:00+00:00,25,2413
summary,2022-01-07,AMZN,,,,,,,0.00,,0,,,,,,,,,,,,0.6746,2022-01-04T14:37:00+00:00,45,1704
summary,2022-01-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.9103,2022-01-07T14:45:00+00:00,255,1130
summary,2022-01-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9397,2022-01-07T14:45:00+00:00,389,1130
summary,2022-01-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8914,2022-01-07T14:58:00+00:00,448,985
