row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2022-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4786,2022-01-03T10:28:00+00:00,621,1128
summary,2022-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4298,2022-01-03T18:44:00+00:00,526,1105
trade,2022-01-03,AAPL,Long,2022-01-03T14:36:00+00:00,2022-01-03T15:56:00+00:00,179.3209,180.9038,300.00,474.89,0.008828,4800000,SessionClose,0.5826,0.0922,0.5866,0.5670,0.6124,-0.3366,-0.0856,0.5907,,,
summary,2022-01-03,AAPL,,,,,,,474.89,,1,,,,,,,,,,0.6135,2022-01-03T14:41:00+00:00,588,1134
summary,2022-01-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5450,2022-01-03T09:03:00+00:00,267,966
summary,2022-01-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,867,1485
summary,2022-01-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,753,1449
summary,2022-01-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7301,2022-01-03T14:41:00+00:00,905,1527
summary,2022-01-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,380,1154
summary,2022-01-05,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7454,2022-01-03T10:30:00+00:00,997,2336
summary,2022-01-05,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7304,2022-01-03T10:22:00+00:00,753,2270
summary,2022-01-05,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7301,2022-01-03T14:41:00+00:00,905,2311
summary,2022-01-05,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5309,2022-01-03T11:01:00+00:00,380,1745
summary,2022-01-06,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4812,2022-01-03T14:37:00+00:00,1034,2996
summary,2022-01-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6862,2022-01-03T14:37:00+00:00,663,2922
summary,2022-01-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2022-01-03T14:36:00+00:00,823,2962
summary,2022-01-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6808,2022-01-03T14:31:00+00:00,378,2340
summary,2022-01-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3666,2022-01-04T14:41:00+00:00,254,3033
summary,2022-01-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4575,2022-01-04T20:49:00+00:00,232,2972
summary,2022-01-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5892,2022-01-04T14:56:00+00:00,25,2940
summary,2022-01-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4355,2022-01-04T20:49:00+00:00,25,2413
summary,2022-01-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5639,2022-01-07T16:54:00+00:00,248,1132
summary,2022-01-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9103,2022-01-07T14:45:00+00:00,255,1130
summary,2022-01-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9397,2022-01-07T14:45:00+00:00,376,1130
summary,2022-01-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8914,2022-01-07T14:58:00+00:00,443,985
summary,2022-01-11,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6436,2022-01-10T19:08:00+00:00,952,1534
trade,2022-01-11,QQQ,Long,2022-01-11T16:16:00+00:00,2022-01-11T16:17:00+00:00,383.6067,383.1484,292.02,-133.85,-0.001195,60000,SessionClose,0.6169,0.6103,0.6130,0.6047,0.6426,0.5466,0.6047,0.6426,,,
trade,2022-01-11,QQQ,Long,2022-01-11T16:19:00+00:00,2022-01-11T16:20:00+00:00,383.9868,383.5682,284.88,-119.25,-0.001090,60000,SessionClose,0.6150,0.6087,0.5938,0.6047,0.6426,0.5310,0.6047,0.6426,,,
trade,2022-01-11,QQQ,Long,2022-01-11T16:29:00+00:00,2022-01-11T16:30:00+00:00,383.6567,383.7866,278.42,36.17,0.000339,60000,SessionClose,0.5840,0.6007,0.3348,0.5961,0.6426,0.5023,0.5961,0.6426,,,
trade,2022-01-11,QQQ,Long,2022-01-11T16:36:00+00:00,2022-01-11T16:37:00+00:00,383.8918,384.1066,281.29,60.42,0.000560,60000,SessionClose,0.6310,0.6393,0.4430,0.6565,0.6426,0.5257,0.6565,0.6426,,,
trade,2022-01-11,QQQ,Long,2022-01-11T16:39:00+00:00,2022-01-11T16:40:00+00:00,384.6619,384.5881,285.54,-21.09,-0.000192,60000,SessionClose,0.6415,0.6417,0.5477,0.6565,0.6426,0.5501,0.6565,0.6426,,,
